Code	Provider	Marking	Case	Unit	Description	Provider	Category
	Code	Code		$US			
ADR01AR			SOIC8	2.93	+10V-Prec Voltage Reference 0.1% 3ppm	1	10
LM334H		LM334H	TO-92	4.8	Progr. Current Source 1uA ... 10mA  0.01%/V	1	10
LM334		LM334	TO-92	2	Progr. Current Source 1uA ... 10mA  0.01%/V	1	10
LM334Z		LM334Z	TO-92	2	Progr. Current Source 1uA ... 10mA  0.01%/V	1	10
LM336Z		LM336Z	TO-46	5	+2.5V-Prec. Voltage Reference 1% 20ppm	1	10
LM431		LM431	SOIC8		Adjustable Precision Zener Shunt Regulator 2.5V..37V	1	10
REF102AU			DIL8	4.1	+10V-Prec. Voltage Reference 0.1% 10ppm	1	10
REF200AU			SOIC8	5.6	100uA 40V Prec-Current-Source	1	10
REF1004-1.2			SOIC8	0.7	1.2V-MCPWR-Prec-Voltage-Reference	1	10
REF1004-2.5			SOIC8	0.63	1.2V-MCPWR-Prec-Voltage-Reference	1	10
ICL8069			TO-92		1.2V-Bandgap_500uA	1	10
AD590IF			Flatpack	15.71	Temperature Sensor Current 10uA/ºC	1	11
LM35DZ			TO-92	2	Temperature Sensor Voltage 10mV/ºC	1	11
KTY81-121	568-3249-ND		SOD70	1.36	Temperature Sensor PTC	1	11
KTY81-210	568-3250-ND		SOD70	1.36	Temperature Sensor PTC	1	11
KTY81-110	568-1003-ND		SOD70	1.36	Temperature Sensor PTC	1	11
ACS756KCB-050B	ACS756KCB-050B-PFF-T-ND 	ACS756KCB-050B-PFF-T-ND	5CB-PFF	3.17		1	12
ACS50SCA-100			5CB-PFF	5.29	"Current Sensor +/-100A, 40mv/A"	1	12
A1203EUA				0		1	12
A1321EUA		21E	SIP3	1.28	"Linear Hall-Sensor,  5mV/G"	1	12
A1323EUA		23E	SIP3	1.28	"Linear Hall-Sensor,  2.5mV/G"	1	12
A3213ELHLT		13E	SOT23	0.74	"Micro Power, ultrasensitive Hall-Effect"	1	12
KMZ10A		KMZ10A	SOT195	6.08	"Hall Sensor 7.5mV/V, 5V-Supply"	1	12
KMZ10B		KMZ10B	SOT195	4.7	"Hall Sensor 4mV/V, 5V-Supply"	1	12
KMZ10C		KMZ10C	SOT195	4.7	"Hall Sensor 2mV/V, 5V-Supply"	1	12
KM110BH-90		KM110BH-90		50	90º-Angle-Sensor Module	1	12
LA55-P		LA55-P	Module	23	Current Sensor 55A	1	12
TLE4935L		35L	P-SSO-3-2		Hall Sensor bipolar 3..24V	1	12
TLE4905L		05L	P-SSO-3-2	0.95	Hallsensor unipolar 3..24V	1	12
CA3059			DIL14	1.2	ZVS	1	13
LM3914N			DIL16	2.85	BARGRAPH-DRIVER	1	13
TLC7555CD			SOIC8	2.55	CMOS Timer	1	13
TLC7555CD	TI	TL555C	SOIC8	0.75	"CMOS Timer, 2.1MHz"	1	13
NE555N			DIL8	0.55	CMOS Timer	1	13
NE555CD			SOIC8	0.25	CMOS Timer	1	13
NE556			DIL14		Timer Dual	1	13
ADM202E			TSOP14	0		1	13
